,Country,Year,Homicide,Inequality,Compulsory education duration (years),GDP per capita (constant 2010 US$),Lower secondary completion rate total (% of relevant age group),Research and development expenditure (% of GDP),School enrollment tertiary (% gross),Unemployment total (% of total labor force) (national estimate),Urban population (% of total population),Unsentenced,Police personel
45,Brazil,2003,25.75645397,0.562,8.0,8943.828483,75.85272217,0.99939,23.21698952,9.989999771,82.20299999999999,21.60000038,343.81
46,Brazil,2004,24.11823962,0.5539999999999999,8.0,9346.039343,75.85272217,0.9634299999999999,24.49123955,9.109999657000001,82.521,27.72000122,301.93
47,Brazil,2005,23.44880162,0.552,8.0,9535.41883,75.85272217,1.0024600000000001,25.98962975,9.569999695,82.834,28.25551605,315.7
48,Brazil,2006,23.96067059,0.5479999999999999,8.0,9805.724506,75.85272217,0.9880700000000001,25.240434649999997,8.640000342999999,83.14299999999999,43.3146553,177.66
49,Brazil,2007,23.47072822,0.5429999999999999,8.0,10293.530340000001,75.85272217,1.08138,30.78668976,8.329999924,83.448,43.43832016,161.55
50,Brazil,2008,23.89465891,0.536,8.0,10710.872220000001,75.85272217,1.12904,35.56209946,7.340000152999999,83.749,30.79191971,467.3
51,Brazil,2009,22.96085537,0.5329999999999999,8.0,10594.98659,71.62493134,1.11866,37.03839874,8.520000458,84.044,42.55008316,168.39
52,Brazil,2010,22.10985431,0.5345,8.0,11286.24302,73.738826755,1.15992,36.3002491,7.9300003055,84.335,41.87709427,333.99
53,Brazil,2011,24.34453674,0.526,8.0,11627.81065,71.75012207,1.1396600000000001,43.45983124,6.920000076,84.631,40.61802673,251.19
54,Brazil,2012,26.62186809,0.523,8.0,11745.77593,72.74447441250001,1.12684,39.88004017,7.190000057000001,84.92299999999999,40.33451462,292.59000000000003
55,Brazil,2013,26.94195361,0.522,14.0,11993.483979999999,72.24729824125001,1.19567,41.669935705,6.980000018999999,85.209,40.53328323,271.89
56,Brazil,2014,28.84983225,0.514,14.0,11951.20945,72.49588632687501,1.27131,40.7749879375,6.659999847000001,85.492,41.16821289,365.81
57,Brazil,2015,28.59025632,0.511,14.0,11431.15448,72.3715922840625,1.34264,41.22246182125,8.430000305,85.77,37.47198105,460.05
58,Brazil,2016,29.87780701,0.532,14.0,10965.974259999999,72.43373930546875,1.26417,40.998724879375004,11.60000038,86.042,39.320096969999994,412.93
59,Brazil,2017,30.83136251,0.5329999999999999,14.0,11021.71826,72.40266579476562,1.26326,41.1105933503125,12.81999969,86.309,38.396039009999996,436.49
60,Bulgaria,2003,3.1649194689999995,0.27699999999999997,9.0,4842.885654,46.99010086,0.47586999999999996,41.62207031,13.72999954,69.87899999999999,18.48797989,201.34
61,Bulgaria,2004,3.150570137,0.358,9.0,5193.913461,46.99010086,0.47448999999999997,42.55524063,12.03999996,70.233,18.28718567,195.76
62,Bulgaria,2005,2.5887983869999998,0.312,9.0,5607.527055,46.99010086,0.44616999999999996,45.3680191,10.07999992,70.584,18.18817711,198.55
63,Bulgaria,2006,2.437419899,0.353,9.0,6034.620126,46.99010086,0.4454,47.15087128,8.949999809,70.932,12.24452877,197.155
64,Bulgaria,2007,2.3361170959999997,0.359,9.0,6477.7702770000005,46.99010086,0.43023999999999996,50.58832932,6.8800001139999996,71.278,9.268815041,326.91
65,Bulgaria,2008,2.285992554,0.33399999999999996,9.0,6920.388954000001,46.99010086,0.44787,51.913311,5.610000134,71.622,8.43962574,329.94
66,Bulgaria,2009,2.0070893069999998,0.332,9.0,6730.058143000001,46.99010086,0.4947,54.23545074,6.820000172,71.96300000000001,9.882300377,353.13
67,Bulgaria,2010,1.99326304,0.35,9.0,6812.406338,46.99010086,0.56387,57.79518127,10.27999973,72.30199999999999,11.29118252,341.53499999999997
68,Bulgaria,2011,1.734734204,0.336,11.0,7017.663645999999,46.99010086,0.53191,59.02869034,11.26000023,72.638,11.11785507,334.55
69,Bulgaria,2012,1.92255066,0.354,11.0,7083.598787000001,46.99010086,0.6047899999999999,61.35998154,12.27000046,72.975,9.765089989,348.57
70,Bulgaria,2013,1.495180033,0.354,11.0,7146.558795999999,46.99010086,0.6372399999999999,64.19197845,12.93999958,73.313,8.761602402000001,327.04
71,Bulgaria,2014,1.5733582419999999,0.37,11.0,7322.808629000001,46.99010086,0.79377,67.56356049,11.42000008,73.65100000000001,8.500635147,328.46
72,Bulgaria,2015,1.75006344,0.377,11.0,7663.7220290000005,46.99010086,0.96015,70.30153656,9.140000342999999,73.99,9.300755501,324.72
73,Bulgaria,2016,1.1045941609999999,0.402,11.0,8012.511208,46.99010086,0.7800600000000001,71.2457428,7.570000172,74.329,8.900695324,326.59000000000003
74,Bulgaria,2017,1.450203395,0.396,11.0,8353.968238,46.99010086,0.75239,71.03066254,6.159999847000001,74.669,9.100725412500001,110.95
75,Chile,2003,3.2366647360000003,0.507,12.0,10109.66805,94.97573853,0.30956999999999996,43.46953964,9.770000458,86.665,41.94979477,329.99
76,Chile,2004,3.2366647360000003,0.507,12.0,10726.64485,94.97573853,0.30956999999999996,43.93024826,10.15999985,86.725,36.79066849,473.77
77,Chile,2005,3.559353738,0.507,12.0,11225.07995,94.97573853,0.30956999999999996,49.36883926,9.340000153,86.78299999999999,33.02272797,401.88
78,Chile,2006,3.6075682380000003,0.483,12.0,11808.83477,94.97573853,0.30956999999999996,48.23466873,9.020000458,86.84200000000001,27.748519899999998,300.86
79,Chile,2007,3.72651246,0.495,12.0,12256.42969,94.97573853,0.30956999999999996,53.95666885,8.430000305,86.9,22.35391998,310.71
80,Chile,2008,3.519218494,0.489,12.0,12553.79484,94.97573853,0.37496999999999997,56.73126984,9.289999962000001,86.959,21.3761425,274.8
81,Chile,2009,3.730860685,0.478,12.0,12227.21453,94.97573853,0.35202,60.91149902,11.31000042,87.01700000000001,21.18048286,292.755
82,Chile,2010,3.17069021,0.4835,12.0,12808.034590000001,94.97573853,0.32947,67.86342621,8.420000076,87.074,19.55177116,283.77750000000003
83,Chile,2011,3.6904685639999997,0.469,12.0,13455.837809999999,94.97573853,0.35144000000000003,72.2767868,7.340000152999999,87.132,17.88697433,369.42
84,Chile,2012,2.4942014130000003,0.47624999999999995,12.0,14035.67913,95.60127258,0.3622,75.93106842,6.659999847000001,87.189,19.77577591,326.59875
85,Chile,2013,3.164212799,0.466,12.0,14461.17438,92.37722778,0.3887,79.9562912,6.2100000379999996,87.24600000000001,21.8133831,258.78
86,Chile,2014,2.4663593930000003,0.471125,12.0,14561.326159999999,96.75611877,0.37503000000000003,82.84638214,6.659999847000001,87.303,24.31686211,228.84
87,Chile,2015,3.394668123,0.45299999999999996,12.0,14722.36633,95.87487793,0.38073,85.26672363,6.510000229,87.36,27.55589104,193.37
88,Chile,2016,3.360962052,0.4620625,12.0,14777.14884,95.62890625,0.36949,87.18814087,6.739999771,87.42200000000001,25.936376574999997,211.10500000000002
